Hours Slept,Number of Siblings,Birth Month and Day,Pineapple Pizza Rating
6,3,January 21,1
6,1,April 24,4
6,2,March 10 ,5
8,1,July 17,5
7,1,July 9,1
8,2,March 25,1
9,0,June 2,3
7,2,April 5,3
5,1,May 26,4
6,1,September 18,4
8,0,September 16,5
7,1,September 29,1
8,2,November 4,1
9,1,August 28,3
7,2,July 22,3
7,1,March 4,5
7,2,January 15,1
8,2,August 1,4
7,1,May 21,5
9,0,August 30,4
8,1,October 28,1
9,1,May 14,3
9,1,April 14,5
6,1,July 12,3
7,1,Dec 15,4
9,3,August 2,4
7,2,September 19,2
8,1,April 12,4
9,3,February 11,2
6,2,December 31,3
6,2,June 12th ,2
8,3,January 16,4
7,2,June 30,1
9,1,December 14,2
8,2,December 13,4
4,1,July 7,5
7,0,May 16,3
7,1,January 5,1
6,4,June 1,3
6,2,March 12,4
6,1,May 3,3
8,0,March 8,3
8,2,July 21 ,3
8,0,August 3,3
9,1,July 20,4
7,0,August 19,3
7,1,September 12,5
7,2,June 14,4
7,1,November 7,2
5,2,February 7,2
6,0,January 13,5
6,0,April 7,3
8,0,January 16,4
10,1,October 21,3
6,3,September 7,1
5,3,September 21,4
7,1,February 14,4
6,3,August 12,4
7,2,January 25,2
6,2,November 8,4
6,2,December 12,3
10,1,November 16,4
7,1,November 18,1
8,2,April 5,4
8,2,May 27,3
6,2,October 6,1
6,1,February 8,3
6,1,October 20,1
7,1,October 13,1
7,2,March 21,3
5,2,January 23,5
7,1,May 19,2
7,1,June 30,1
6,2,November 19,3
6,1,December 26,4
7,3,December 2,2
8,1,October 6,3
6,1,September 14,2
7,2,June 18,4
8,0,June 8,2
10,2,January 22,4
7,6,December 19,1
5,4,August 29,2
7,7,December 31,1
7,1,April 12,1
7,0,August 27,1
7,1,November 15,1
7,2,October 2,1
7,2,September 25,1
7,1,June 14,1
6,2,March 27,1
6,4,December 9,1
