Hours Slept,Number of Siblings,Height (cm),Home-LBNL Distance (miles),Commute Time (minutes),Pineapple Pizza Rating
6,1,170.2,1,25,3
7,2,170,19,45,3
7,4,162.56,19.1,45,1
4,3,160,22,60,4
7,2,162.6,3.5,45,4
8,2,175.3,35,80,3
5,3,170.2,27,40,1
7,1,167.64,35,80,2
8,3,177.8,35,80,5
7,2,160,51,50,4
6,3,149.86,13,120,4
8,1,167.6,1,20,3
7,3,175.26,3.1,30,4
7,1,150,20,35,5
6,1,167.6,14,45,5
4,2,168,20,30,3
6,2,161.5,36,90,4
7,3,170,12,30,1
6,1,167.6,11,25,1
7,1,177.1,5,20,3
4,1,177.165,16.16,55,4
8,1,177.8,2.5,20,2
