Hours Slept,Number of Siblings,Height (cm),Home-LBNL Distance (miles),Commute Time (minutes),Pineapple Pizza Rating
7,2,170.2,17,30,4
5,2,172.2,31.3,45,2
7,1,160,29,61,5
7,2,175.3,11.4,22,1
6,2,177,3.1,40,3
7,2,154.9,18,33,5
6,2,157.5,13,40,3
6,3,160.02,7.2,23,2
7,1,170.2,11,60,3
6,2,154.9,25,56,2
6,1,170.18,12,23,3
6,2,178,3.4,8,2
9,2,170.18,25,37,4
5,2,177.8,3,20,3
8,3,67,20,45,5
7,1,180.3,11,40,3
7,0,180,3,30,2
7,3,175.26,4.5,25,1
7,1,176.6,14,35,3
6,1,177.8,10,23,3
7,0,175.26,3.5,15,1
5,2,160.02,12.51,43,1
8,1,182.8,7,50,5
8,1,177,16,35,3
8,0,152.4,22,45,5
7,2,170.18,12.1,105,3
12,1,157.5,40,53,4
3,3,180,230,20,5
6,3,152,7.4,120,4
8,2,165.1,12,30,3
7,1,167.64,36,50,1
5,1,167.6,23,60,4
8,2,167.7,17,35,3
6,2,150,5,45,4
8,1,172.2,2.5,9,3
6,1,157.5,32.8,40,5
7,1,162.6,26,48,5
5,1,160,35,95,4
7,1,166,9,30,5
8,1,175.3,25,45,3
8,1,167.64,16,45,4
8,0,173,34,47,4
7,0,170.2,3,30,4
6,2,162.6,11.5,25,5
