Year,Hydropower,Geothermal,Municipal Waste,Wood and Other Biomass,Solar Thermal,Solar Photovoltaic,Wind,Offshore Wind
2050,288.270325,47.38002,48.570084,10.808198,2.853573,926.290405,642.37738,93.848259
2049,288.258148,46.882961,47.777069,10.806513,2.545365,905.368408,632.573242,93.813965
2048,290.003326,46.369637,46.650909,10.82081,2.631346,879.273804,627.420349,93.84166
2047,294.010773,45.885284,46.017136,10.819353,2.641926,849.026611,624.547974,93.93074
2046,294.394287,45.346268,44.970348,10.812899,2.650853,826.906128,618.995667,93.923103
2045,294.558899,44.465416,44.246365,10.824726,2.604338,811.479065,609.418396,93.945137
2044,294.496246,43.290134,43.489437,10.823734,2.674702,791.305786,605.781433,93.986542
2043,294.177521,42.06818,42.441837,10.798791,2.935538,775.852478,606.014893,94.011497
2042,295.428864,41.178459,41.264431,10.782408,2.55557,755.886719,594.745605,94.007011
2041,296.544617,40.308636,40.239933,10.83471,2.855436,740.445435,587.348755,94.000038
2040,296.031494,39.032261,39.143166,10.851345,2.767691,730.58844,583.127136,94.008369
2039,295.667297,37.616848,38.194614,10.87693,2.839067,714.628113,578.866577,94.04541
2038,296.6409,36.271507,37.2756,10.907174,2.822994,691.6875,577.421021,94.047539
2037,297.165436,34.806412,35.797993,10.856196,2.882703,674.290039,574.974792,93.965508
2036,297.28537,33.197445,34.570862,10.813877,2.909807,650.868713,567.814087,92.694801
2035,297.686035,31.479475,33.257828,10.907637,2.870987,617.382874,564.937073,82.974037
2034,297.585236,29.747721,31.906416,10.987521,2.855007,589.095459,562.404785,57.844498
2033,297.885162,27.970644,30.87645,11.019927,2.857193,548.471558,561.630066,41.509369
2032,298.168243,26.488592,29.577597,10.878079,2.844629,506.19574,559.955139,41.514896
2031,298.278259,24.754333,28.153507,10.85906,2.801615,482.709045,558.236877,41.518208
2030,299.016632,23.545464,26.978508,10.661127,2.858579,460.109192,557.691833,35.043339
2029,299.59024,22.182802,25.922697,10.803379,2.852894,430.209625,554.947876,11.182922
2028,299.50943,20.687408,24.84498,10.710066,2.899641,375.153015,545.921997,9.643976
2027,299.689087,19.357189,23.977085,11.210383,2.845025,343.471985,543.705688,3.358755
2026,299.692719,18.07287,22.725483,11.480408,2.858205,327.123901,537.193604,3.358689
2025,299.77417,16.988907,21.556625,11.703476,2.945188,308.751526,514.873779,3.35871
2024,299.508453,15.87902,20.484411,11.280571,2.93921,274.374512,460.107422,3.359562
2023,285.561615,15.896206,19.146963,11.729419,2.96647,181.25972,435.7724,3.043871
2022,270.162201,15.867296,17.437965,11.948616,3.169478,135.941071,420.08197,1.455374
2021,258.553314,15.860015,17.414146,12.723913,3.280386,103.408905,376.761658,0.130124
