Country or area,Subregion,Region,Internet users,Population
China,Eastern Asia,Asia,"1,010,740,000","1,427,647,786"
India,Southern Asia,Asia,"833,710,000","1,352,642,280"
United States,Northern America,Americas,"312,320,000","327,096,265"
Indonesia,South-eastern Asia,Asia,"196,000,000","267,670,543"
Brazil,South America,Americas,"160,010,801","209,469,323"
Nigeria,Western Africa,Africa,"136,203,231","195,874,685"
Bangladesh,Southern Asia,Asia,"129,180,000","166,303,498"
Russia,Eastern Europe,Europe,"124,000,000","145,734,038"
Pakistan,Southern Asia,Asia,"118,800,000","213,756,286"
Japan,Eastern Asia,Asia,"117,400,000","127,202,192"
Mexico,Northern America,Americas,"92,010,000","128,972,439"
Iran,Western Asia,Asia,"78,086,663","81,800,188"
Germany,Western Europe,Europe,"77,794,405","83,124,418"
Philippines,South-eastern Asia,Asia,"73,003,313","106,651,394"
Turkey,Southern Europe,Europe,"69,945,905","82,340,088"
Vietnam,South-eastern Asia,Asia,"68,172,134","95,545,962"
United Kingdom,Northern Europe,Europe,"65,001,016","67,141,684"
France,Western Europe,Europe,"59,470,000","64,990,511"
Egypt,Northern Africa,Africa,"54,740,141","98,423,598"
South Korea,Eastern Asia,Asia,"49,421,084","51,171,706"
Spain,Southern Europe,Europe,"42,400,756","46,692,858"
Thailand,South-eastern Asia,Asia,"54,043,108","69,428,453"
Italy,Southern Europe,Europe,"50,540,000","60,627,291"
Poland,Eastern Europe,Europe,"34,697,848","37,921,592"
Canada,Northern America,Americas,"33,950,632","37,064,562"
Argentina,South America,Americas,"33,561,876","44,361,150"
South Africa,Southern Africa,Africa,"31,858,027","57,792,518"
Colombia,South America,Americas,"30,548,252","49,661,048"
Saudi Arabia,Western Asia,Asia,"27,048,861","33,702,756"
Malaysia,South-eastern Asia,Asia,"25,343,685","31,528,033"
Ukraine,Eastern Europe,Europe,"31,100,000","44,246,156"
Algeria,Northern Africa,Africa,"26,350,000","42,228,408"
Morocco,Northern Africa,Africa,"22,072,765","36,029,093"
Taiwan,Eastern Asia,Asia,"21,920,626","23,726,460"
Australia,"Australia, New Zealand",Oceania,"21,159,515","24,898,152"
Venezuela,South America,Americas,"20,564,451","28,887,118"
