,oat,humidity,windspeed,cloudcover,solar,sr
2021-01-01 00:00:00,43.56,98.0,2.87,0.37,0.0,0.0
2021-01-01 00:15:00,43.41,98.0,2.93,0.38,0.0,0.0
2021-01-01 00:30:00,43.28,98.0,2.98,0.41,0.0,0.0
2021-01-01 00:45:00,43.35,98.0,3.0,0.44,0.0,0.0
2021-01-01 01:00:00,43.47,98.0,2.97,0.5,0.0,0.0
2021-01-01 01:15:00,43.55,97.0,3.03,0.5,0.0,0.0
2021-01-01 01:30:00,43.69,96.0,3.07,0.5,0.0,0.0
2021-01-01 01:45:00,44.68,93.0,3.47,0.43,0.0,0.0
2021-01-01 02:00:00,44.52,92.0,3.78,0.38,0.0,0.0
2021-01-01 02:15:00,44.67,91.0,3.88,0.38,0.0,0.0
2021-01-01 02:30:00,44.79,90.0,4.01,0.39,0.0,0.0
2021-01-01 02:45:00,44.83,89.0,3.98,0.4,0.0,0.0
2021-01-01 03:00:00,44.9,89.0,4.11,0.42,0.0,0.0
2021-01-01 03:15:00,44.62,89.0,4.4,0.43,0.0,0.0
2021-01-01 03:30:00,44.67,89.0,4.51,0.45,0.0,0.0
2021-01-01 03:45:00,44.74,88.0,4.65,0.47,0.0,0.0
2021-01-01 04:00:00,44.73,88.0,4.76,0.51,0.0,0.0
2021-01-01 04:15:00,44.79,88.0,4.69,0.56,0.0,0.0
2021-01-01 04:30:00,44.71,88.0,4.82,0.62,0.0,0.0
2021-01-01 04:45:00,44.3,89.0,4.97,0.68,0.0,0.0
2021-01-01 05:00:00,43.73,90.0,4.87,0.65,0.0,0.0
2021-01-01 05:15:00,43.61,90.0,4.89,0.69,0.0,0.0
2021-01-01 05:30:00,43.46,90.0,4.89,0.7,0.0,0.0
2021-01-01 05:45:00,43.07,91.0,4.82,0.62,0.0,0.0
2021-01-01 06:00:00,43.05,91.0,4.64,0.65,0.0,0.0
2021-01-01 06:15:00,43.06,91.0,4.86,0.68,0.0,0.0
2021-01-01 06:30:00,43.12,91.0,5.19,0.71,0.0,0.0
2021-01-01 06:45:00,43.29,91.0,5.44,0.73,0.0,0.0
2021-01-01 07:00:00,43.56,90.0,5.46,0.76,0.0,0.0
2021-01-01 07:15:00,43.77,90.0,5.58,0.78,0.0,0.0
2021-01-01 07:30:00,44.03,90.0,5.67,0.79,0.0,0.0
2021-01-01 07:45:00,44.1,90.0,5.79,0.76,0.0,0.0
2021-01-01 08:00:00,44.53,90.0,5.74,0.76,2.76523886880113,2.76523886880113
2021-01-01 08:15:00,45.3,89.0,5.63,0.77,24.306166010441707,24.306166010441707
2021-01-01 08:30:00,45.76,89.0,5.48,0.77,44.82524878450148,44.82524878450148
2021-01-01 08:45:00,46.2,88.0,5.03,0.77,63.90211080931544,63.90211080931544
2021-01-01 09:00:00,46.86,87.0,4.88,0.77,82.84325200238881,82.84325200238881
2021-01-01 09:15:00,47.81,86.0,4.73,0.77,100.77576659764696,100.77576659764696
2021-01-01 09:30:00,48.63,85.0,4.62,0.77,117.81596534828128,117.81596534828128
2021-01-01 09:45:00,49.33,84.0,4.77,0.76,137.67327845583506,137.67327845583506
2021-01-01 10:00:00,50.3,82.0,4.81,0.75,157.63775753090633,157.63775753090633
2021-01-01 10:15:00,51.4,80.0,4.94,0.73,179.9584216790674,179.9584216790674
2021-01-01 10:30:00,52.6,78.0,5.16,0.7,204.3242695750214,204.3242695750214
2021-01-01 10:45:00,53.95,75.0,5.89,0.67,232.44280374416263,232.44280374416263
2021-01-01 11:00:00,54.82,74.0,6.53,0.74,231.77016734283296,231.77016734283296
2021-01-01 11:15:00,55.42,73.0,7.16,0.81,224.67228808685047,224.67228808685047
2021-01-01 11:30:00,56.13,71.0,7.74,0.8,242.23295286575785,242.23295286575785
2021-01-01 11:45:00,56.49,71.0,7.39,0.78,250.28339880795886,250.28339880795886
2021-01-01 12:00:00,56.73,71.0,7.8,0.76,262.27026053126156,262.27026053126156
2021-01-01 12:15:00,57.2,71.0,8.05,0.75,268.00246645454644,268.00246645454644
2021-01-01 12:30:00,57.58,71.0,8.2,0.73,273.6438077510705,273.6438077510705
2021-01-01 12:45:00,58.52,68.0,8.59,0.73,279.13643804483877,279.13643804483877
2021-01-01 13:00:00,58.71,69.0,8.76,0.73,274.3899574435531,274.3899574435531
2021-01-01 13:15:00,58.61,70.0,9.37,0.74,268.5048879739668,268.5048879739668
2021-01-01 13:30:00,58.32,71.0,9.39,0.75,255.94210264867456,255.94210264867456
2021-01-01 13:45:00,57.58,75.0,8.14,0.67,250.48221243851896,250.48221243851896
2021-01-01 14:00:00,57.22,77.0,8.21,0.69,231.6519950372508,231.6519950372508
2021-01-01 14:15:00,57.22,79.0,8.72,0.69,218.92905651140518,218.92905651140518
2021-01-01 14:30:00,56.79,81.0,8.82,0.74,191.8491908063413,191.8491908063413
2021-01-01 14:45:00,56.85,81.0,9.75,0.8,167.7764215999441,167.7764215999441
2021-01-01 15:00:00,56.08,85.0,8.89,0.84,131.30910791272944,131.30910791272944
2021-01-01 15:15:00,55.49,87.0,8.87,0.88,102.63448651989123,102.63448651989123
2021-01-01 15:30:00,54.86,89.0,8.92,0.9,79.98425759421747,79.98425759421747
2021-01-01 15:45:00,53.97,91.0,8.15,0.92,54.8733008518393,54.8733008518393
2021-01-01 16:00:00,53.45,93.0,8.2,0.93,36.364294576114816,36.364294576114816
2021-01-01 16:15:00,52.19,96.0,7.84,0.94,17.173161896999982,17.173161896999982
2021-01-01 16:30:00,52.03,97.0,8.01,0.94,2.161860465781122,2.161860465781122
2021-01-01 16:45:00,51.82,99.0,9.03,0.93,0.0,0.0
2021-01-01 17:00:00,51.69,99.0,9.0,0.92,0.0,0.0
2021-01-01 17:15:00,51.62,100.0,8.82,0.95,0.0,0.0
2021-01-01 17:30:00,51.51,100.0,8.21,0.95,0.0,0.0
2021-01-01 17:45:00,51.34,99.0,6.3,0.95,0.0,0.0
2021-01-01 18:00:00,51.22,99.0,5.78,0.95,0.0,0.0
2021-01-01 18:15:00,51.14,100.0,6.59,0.94,0.0,0.0
2021-01-01 18:30:00,51.04,100.0,6.13,0.93,0.0,0.0
2021-01-01 18:45:00,50.69,100.0,5.57,0.91,0.0,0.0
2021-01-01 19:00:00,50.59,100.0,5.12,0.89,0.0,0.0
2021-01-01 19:15:00,50.16,100.0,3.73,0.8,0.0,0.0
2021-01-01 19:30:00,50.17,100.0,3.84,0.79,0.0,0.0
2021-01-01 19:45:00,50.31,100.0,4.7,0.8,0.0,0.0
2021-01-01 20:00:00,50.27,100.0,4.67,0.79,0.0,0.0
2021-01-01 20:15:00,50.22,100.0,4.21,0.82,0.0,0.0
2021-01-01 20:30:00,50.09,100.0,4.1,0.78,0.0,0.0
2021-01-01 20:45:00,49.95,99.0,3.99,0.74,0.0,0.0
2021-01-01 21:00:00,49.83,99.0,3.9,0.72,0.0,0.0
2021-01-01 21:15:00,49.96,99.0,3.88,0.69,0.0,0.0
2021-01-01 21:30:00,49.84,98.0,3.81,0.68,0.0,0.0
2021-01-01 21:45:00,50.04,98.0,4.68,0.68,0.0,0.0
2021-01-01 22:00:00,49.92,98.0,4.64,0.7,0.0,0.0
2021-01-01 22:15:00,49.84,98.0,4.62,0.75,0.0,0.0
2021-01-01 22:30:00,49.78,97.0,4.62,0.82,0.0,0.0
2021-01-01 22:45:00,49.3,97.0,4.38,0.87,0.0,0.0
2021-01-01 23:00:00,48.61,98.0,4.56,0.87,0.0,0.0
2021-01-01 23:15:00,48.74,98.0,5.23,0.82,0.0,0.0
2021-01-01 23:30:00,48.69,98.0,5.17,0.8,0.0,0.0
2021-01-01 23:45:00,48.47,100.0,5.45,0.81,0.0,0.0
2021-01-02 00:00:00,48.42,100.0,5.49,0.78,0.0,0.0
2021-01-02 00:15:00,48.31,100.0,5.16,0.75,0.0,0.0
2021-01-02 00:30:00,48.2,100.0,5.14,0.74,0.0,0.0
2021-01-02 00:45:00,48.02,100.0,4.77,0.73,0.0,0.0
2021-01-02 01:00:00,48.01,100.0,5.05,0.75,0.0,0.0
2021-01-02 01:15:00,47.98,99.0,5.2,0.81,0.0,0.0
2021-01-02 01:30:00,47.98,99.0,5.37,0.89,0.0,0.0
2021-01-02 01:45:00,48.11,99.0,5.44,0.95,0.0,0.0
2021-01-02 02:00:00,48.25,98.0,5.61,0.98,0.0,0.0
2021-01-02 02:15:00,48.36,97.0,5.76,0.98,0.0,0.0
2021-01-02 02:30:00,48.3,97.0,5.74,0.98,0.0,0.0
2021-01-02 02:45:00,48.61,96.0,6.21,0.98,0.0,0.0
2021-01-02 03:00:00,48.56,95.0,6.23,0.98,0.0,0.0
2021-01-02 03:15:00,48.46,95.0,6.57,0.98,0.0,0.0
2021-01-02 03:30:00,48.44,95.0,6.7,0.99,0.0,0.0
2021-01-02 03:45:00,48.2,95.0,6.23,0.98,0.0,0.0
2021-01-02 04:00:00,48.17,95.0,6.32,0.98,0.0,0.0
2021-01-02 04:15:00,47.98,96.0,6.08,0.98,0.0,0.0
2021-01-02 04:30:00,47.97,95.0,6.09,0.98,0.0,0.0
2021-01-02 04:45:00,47.82,95.0,6.15,0.98,0.0,0.0
2021-01-02 05:00:00,47.79,95.0,6.12,0.98,0.0,0.0
2021-01-02 05:15:00,47.39,96.0,6.06,0.97,0.0,0.0
2021-01-02 05:30:00,47.31,95.0,6.04,0.97,0.0,0.0
2021-01-02 05:45:00,47.26,95.0,6.15,0.96,0.0,0.0
2021-01-02 06:00:00,47.18,95.0,6.14,0.96,0.0,0.0
2021-01-02 06:15:00,47.35,94.0,6.09,0.95,0.0,0.0
2021-01-02 06:30:00,47.27,94.0,6.26,0.94,0.0,0.0
2021-01-02 06:45:00,47.13,95.0,6.33,0.93,0.0,0.0
2021-01-02 07:00:00,47.32,94.0,6.86,0.93,0.0,0.0
2021-01-02 07:15:00,47.42,94.0,6.89,0.92,0.0,0.0
2021-01-02 07:30:00,47.57,94.0,6.86,0.91,0.0,0.0
2021-01-02 07:45:00,47.86,93.0,6.15,0.9,0.0,0.0
2021-01-02 08:00:00,48.12,94.0,6.18,0.89,0.0,0.0
